id,Actual_price,Product_availability,Condition,Currency,Country,brand,Description,Category_name,primaryCategories,name,weight_in_kg,Actual_price_log,brand_standarized,Actual_price_mean_by_category_name,Category_name_encoded,Category_name_encoded_log
56,446.49,No,New,USD,USA,House of Marley,"Portable Bluetooth Speakers,Stereos,Bluetooth & Wireless Speakers,Speaker Systems,Portable Audio & Video,Electronics,TVs Entertainment,Home Audio & Theater,Wireless Home Speakers,All Home Speakers,Wireless Speakers,MP3 Player Accessories,Home Audio,Portable Speakers & Docks,Audio,Mobile Speakers","speaker, portable, bluetooth",Electronics,Get Up Stand Bluetooth Home Audio System,7.0760352,6.1036,house of marley,348.24,333.1402477649147,5.8115
57,84.99,Yes,New,USD,USA,Samsung,"Electronics,Computers & Accessories,Computers & Tablets,Tablets,Computers,iPads Tablets,Office,Walmart for Business,Office Electronics,iPad & Tablets,Android Tablets,All Tablets,Computers/Tablets & Networking,Tablet & eBook Reader Parts,Tablets & eBook Readers","tablet, computer, ipad",Electronics,"Samsung Galaxy Tab E Lite Kids 7; 8 GB Wifi Tablet (White) SM-T113NDWACCC""",0.6350288,4.4542,samsung,119.5333,198.98124316572907,5.2982
58,127.99,Yes,New,USD,USA,Samsung,"Electronics,Computers & Accessories,Computers & Tablets,Tablets,Computers,iPads Tablets,Office,Walmart for Business,Office Electronics,iPad & Tablets,Android Tablets,All Tablets,Computers/Tablets & Networking,Tablet & eBook Reader Parts,Tablets & eBook Readers","tablet, computer, ipad",Electronics,"Samsung Galaxy Tab E Lite Kids 7; 8 GB Wifi Tablet (White) SM-T113NDWACCC""",0.6350288,4.8597,samsung,119.5333,198.98124316572907,5.2982
59,145.62,Yes,New,USD,USA,Dell,"Computers,Wholesale Lots,Electronics Features,Computer Accessories,Networking,Computers & Accessories,Computer Accessories & Peripherals,Docking Stations,Docking Stations & Locks,Computer & Tablet Accessories,Notebook Accessories,Electronics,Computers/Tablets & Networking,Access Points, Hubs & Switches,Laptop & Desktop Accessories,Laptop Accessories,Docking Stations Port Replicators,Computers & Tablets,Laptop Docking Stations,Technology & Services","tablet, computer, ipad",Electronics,Dell USB 3.0 Ultra HD/4K Triple Display Docking Station (D3100),0.28576296,4.9878,dell,119.5333,198.98124316572907,5.2982
60,1099.99,Yes,,USD,USA,LG,"TV, Video & Home Audio,Electronics,Televisions,TVs Entertainment,TV & Home Theater,All Flat-Panel TVs,LED & LCD TVs,TVs,Consumer Electronics,TV & Video,4K TVs by Brand,Television & Video,4K LG TVs,4K Ultra HDTVs","tv, 4k, television",Electronics,"Refurbished LG 65 Class 4K (2160P) Smart LED TV (65UJ7700)""",24.4032496,7.0039,lg,550.495,434.349790146675,6.0761
61,1.0,Yes,New,USD,USA,VIZIO,"Computers,Used:TV Entertainment,Used:Televisions Accessories,4K Ultra HD TVs,TV, Video & Home Audio,Electronics,Televisions,TVs Entertainment,TV & Home Theater,Used:Flat Panel Televisions,Consumer Electronics,TVs,LED & LCD TVs,Laptop Accessories,Monitors,Television & Video,Laptops,Computer Monitors,VIZIO P55-C1,4K Ultra HDTVs","tv, 4k, television",Electronics,P-Series 55-Class UHD SmartCast LED Home Theater Display,18.60180792,0.6936,vizio,550.495,434.349790146675,6.0761
62,99.99,Yes,New,USD,USA,Sling Media,"TV & Video,Media Streaming Players,New Technology,Frys,Electronics,Streaming Media Players,Television & Video,TVs Entertainment,TV & Home Theater,Internet TV Broadcasters,Streaming Media,All Streaming Media Players","tv, streaming, medium",Electronics,Slingbox M2,0.8164656,4.615,sling media,99.99,245.35124408905907,5.5067
63,324.99,Yes,Refurbished,USD,USA,Lg,"All TVs,LED & LCD TVs,TVs,Consumer Electronics,TV & Video,TV, Video & Home Audio,Electronics,Television & Video,Televisions,TV & Home Theater,All Flat-Panel TVs","tv, television, led",Electronics,Details About Lg 49uj6200 49inch 4k Uhd 4k 2160p Hdr Led Tm120 Smart Hdtv (no Stand),11.2944408,5.7868,lg,871.6433,650.2310545210308,6.4788
64,1199.99,,,USD,USA,Samsung,"Electronics,Speaker Wall Mounts,Shop TVs by Type,Televisions,TVs Entertainment,All Home Speakers,Tvs & Home Theater,Tvs,Speaker Accessories,All TVs,Featured Brands,Refurbished TVs,Smart TVs by Brand,Home Audio and Video,Television & Video,LED TVs,Electrical,Samsung Smart TVs,4K Ultra HD TVs,Samsung Tax Time Savings,TV, Video & Home Audio,See more Samsung Un55mu7000 55-inch UHD 4k With Smart T...,4k Tv,Electronics Deals,TV & Home Theater,Home Audio & Theater,Mobile,All Flat-Panel TVs,LED & LCD TVs,Consumer Electronics,TV & Video,Home Audio,Samsung","tv, television, led",Electronics,"Details About Samsung 55 Class 4k (2160p) Smart Led Tv (un55mu7000fxza)""",19.0055048,7.0909,samsung,871.6433,650.2310545210308,6.4788
65,1089.95,Yes,New,USD,USA,Samsung,"TVs & Electronics,4K Ultra HD TVs,LCD TVs,Samsung Smart TVs,Samsung Tax Time Savings,TV, Video & Home Audio,Electronics,Shop TVs by Type,Televisions,TVs Entertainment,TV & Home Theater,All Flat-Panel TVs,4K Samsung TVs,LED & LCD TVs,All TVs,Consumer Electronics,TVs,Refurbished TVs,TV & Video,4K TVs by Brand,Smart TVs by Brand,Television & Video,LED TVs","tv, television, led",Electronics,"SAMSUNG 65 Class 4K (2160P) Ultra HD Smart QLED HDR TV QN65Q6FNAFXZA (2018 Model)""",17.916884,6.9948,samsung,871.6433,650.2310545210308,6.4788
66,699.98,Yes,New,USD,USA,Definitive Technology,"Wireless Speakers,Bluetooth & Wireless Speakers,Wireless & Multiroom Audio,Electronics Features,TVs Entertainment,Home Audio,Wireless Home Speakers,Audio","wireless, speaker, audio",Electronics,"Definitive Technology - W9 Dual 5-1/4 180W 2-Way Wireless Speaker (Each) for Streaming Music - Black""",7.665704799999999,6.5524,definitive technology,699.98,445.3474320279153,6.101
