id,Actual_price,Product_availability,Condition,Currency,Country,brand,Description,Category_name,primaryCategories,name,weight_in_kg,Actual_price_log,brand_standarized,Actual_price_mean_by_category_name,Category_name_encoded,Category_name_encoded_log
42,36.99,Yes,New,USD,USA,Sandisk,"Ipods & Mp3 Players,Media Streaming Players,Electronics,iPod and MP3 Players,TVs Entertainment,Portable Audio,Mobile,Speakers & Audio Systems,MP3 Players,iPod & MP3 Players,iPods Media Players,All MP3 Players,Home Audio,Audio","player, ipod",Electronics,Sandisk Flash Mp3 Player 8gb - Pink (sdmx24008p),0.0929863599999999,3.6373,sandisk,48.49,158.3367658743259,5.071
43,59.99,Yes,New,USD,USA,Sylvania,"Portable DVD Players & Accessories,Media Players & Recorders,Portable DVD Players,DVD & Blu-ray Players,Blu-ray & DVD Players,Portable Audio & Video,Electronics,TV & Home Theater,Home Audio & Theater,Home Theater","player, ipod",Electronics,"Sylvania SDVD7078 7 Portable DVD Player with Swivel Screen (Certified Refurbished)""",0.9525432,4.1107,sylvania,48.49,158.3367658743259,5.071
44,253.71,Yes,,USD,USA,Yamaha,"Electronics,Home Audio,Home Theater,Receivers & Amplifiers,Receivers,Electronics Features,AV Receivers & Amplifiers,Audio,Stereos,Recievers,Home Theater Systems,Frys","receiver, amplifier, home",Electronics,Yamaha RX-V681BL 7.2-Channel MusicCast AV Receiver with Bluetooth,11.8387512,5.5401,yamaha,401.2133,347.996913257419,5.855
45,799.98,Yes,New,USD,USA,Denon,"Stereos,Receivers Amplifiers,Receivers,Electronics,Hi-Res Home Theater Receivers,TVs Entertainment,Home Audio & Theater,All Home Stereos,Receivers & Amplifiers,Television & Video,High-Resolution Audio,Home Audio,Audio,AV Receivers & Amplifiers","receiver, amplifier, home",Electronics,AVR-X3400H 7.2-Channel Network A/V Receiver,10.7954896,6.6858,denon,401.2133,347.996913257419,5.855
46,149.95,Yes,New,USD,USA,Yamaha,"Recievers,TV, Video & Home Audio,Electronics Features,Receivers Amplifiers,Receivers,Frys,Electronics,TVs Entertainment,Home Electronics,See more Yamaha R-S202 Natural Sound Bluetooth 100-Watt...,Consumer Electronics,Home Audio Stereos, Components,Home Theater Systems,Camera & Photo Features,Receivers & Amplifiers,Home Audio,Electrical,Home Theater,Audio,Stereo Receivers","receiver, amplifier, home",Electronics,R-S202 Stereo Receiver with Bluetooth (Black),6.7131616,5.0169,yamaha,401.2133,347.996913257419,5.855
47,259.99,Yes,New,USD,USA,Sony,"TV, Video & Home Audio,Electronics Features,Speaker Systems,Frys,Electronics,Sound Bars,TVs Entertainment,Speakers,Televisions,Home Audio & Theater,All Home Speakers,Soundbar Speakers,Consumer Electronics,See more Sony HTCT790 Sound Bar With 4k and HDR Support...,Home Theater Systems,TV Sound Systems,Home Audio,Home Speakers & Subwoofers,Audio,See more Sony HTCT790 Sound Bar With 4k and HDR Support","sound, speaker, home",Electronics,HT-CT790 330W 2.1-Channel Soundbar System,2.7669112,5.5644,sony,479.495,373.83313820060266,5.9264
48,699.0,Yes,New,USD,USA,Bose,"Surround Speakers,TV, Video & Home Audio,Surround Sound Systems,Electronics,All Home Theater Systems,TVs Entertainment,Speakers,Consumer Electronics,Home Theater Systems,TV Sound Systems,Audio & Home Theatre,Home Audio,Audio","sound, speaker, home",Electronics,Acoustimass 6 Series V Home Theater Speaker System (Black),0.5352385599999999,6.551,bose,479.495,373.83313820060266,5.9264
49,76.95,Yes,New,USD,USA,Dual,"Stereos,Outdoor Speakers,Bluetooth & Wireless Speakers,Electronics Features,Speaker Systems,Electronics,Home Audio,Speakers,Home Audio & Theater,Audio,All Home Speakers,All Bluetooth & Wireless Speakers","speaker, audio",Electronics,Dual - 3-Way Indoor/Outdoor Speakers (Pair) - Black,2.494756,4.356,dual,98.47,183.3228975063069,5.2166
50,119.99,Yes,New,USD,USA,Sony,"Stereos,TV, Video & Home Audio,Speaker Systems,Floor-Standing Speakers,Speaker Separates retvfrxrwffyavrddqbb,Speaker Separates twxaesfvrbydttxbsrefbeewxvustuvrzxd,Frys,Electronics,TVs Entertainment,Speakers,Home Audio & Theater,Sony SS-CS3,All Home Speakers,Consumer Electronics,Floor Speakers,Home Theater Systems,Speaker Separates,Audio Speakers,Home Audio,Audio","speaker, audio",Electronics,"Sony - Core Series Dual 5 3-Way Floorstanding Speaker (Each) - Black""",13.7891968,4.7957,sony,98.47,183.3228975063069,5.2166
51,79.95,Yes,New,USD,USA,House of Marley,"Portable Bluetooth Speakers,Bluetooth & Wireless Speakers,Mobile Bluetooth Speakers,Portable Audio & Video,Electronics,Portable Speakers & Docks,Audio,Mobile,Mobile Speakers","speaker, bluetooth, mobile",Electronics,Chant Sport BT Portable Audio System (Natural),0.4989512,4.3938,house of marley,79.95,205.438138856715,5.33
52,49.99,Yes,,USD,USA,HMDX,"Electronics,Home Audio & Theater,Home Audio,All Home Speakers,Speaker Systems,Audio,Bluetooth & Wireless Speakers,Portable Audio & Video,Portable Speakers & Docks,Portable Bluetooth Speakers,Stereos","speaker, portable, bluetooth",Electronics,HMDX Dynamite Portable Splashproof Wireless Speaker (Gray),5.443104,3.9316,hmdx,109.92,189.04209341022826,5.2472
